timestamp,filename,errorType,errorMessage,lineNumber,recoveryTimeMs,patchStatus,testResults.passed,testResults.message,testResults.tests.0.passed,testResults.tests.0.message,testResults.tests.0.function,aiProvider,backupCreated,patchApplied,errorDetails
2025-07-11T16:25:48.905Z,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_portfolio_a.js,Reference error,projectt is not defined,27,2440,success,true,All tests passed,true,Portfolio HTML generated successfully,generatePortfolioHTML,gemini_2flash,true,true,
2025-07-11T16:26:26.633Z,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_portfolio_b.js,Type error,Cannot read properties of null (reading 'toString'),28,2901,success,true,All tests passed,true,Portfolio HTML generated successfully,generatePortfolioHTML,gemini_2flash,true,true,
2025-07-11T16:28:40.141Z,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_portfolio_c.js,Syntax error,"Unexpected token 'd', ""{""settings"": data}"" is not valid JSON",28,2806,success,true,All tests passed,true,Portfolio HTML generated successfully,generatePortfolioHTML,gemini_2flash,true,true,
2025-07-11T16:28:54.576Z,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_alpha.js,Undefined properties,Cannot read properties of undefined (reading 'substring'),29,4125,success,true,All tests passed,true,Team HTML generated successfully,generateTeamHTML,gemini_2flash,true,true,
2025-07-11T16:29:07.631Z,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_beta.js,Invalid function/type,member.skills.count is not a function,28,2929,success,true,All tests passed,true,Team HTML generated successfully,generateTeamHTML,gemini_2flash,true,true,
2025-07-11T16:29:18.249Z,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_gamma.js,Array index/range,Cannot read properties of undefined (reading 'length'),28,3015,success,true,All tests passed,true,Team HTML generated successfully,generateTeamHTML,gemini_2flash,true,true,
2025-07-11T19:29:21.932Z,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_alpha.js,File system error,"Self-healing trigger: ENOENT: no such file or directory, open 'C:\Projects.Study\CompanyWebsiteSelfHealing\README.mds'",41,3566,success,true,All tests passed,true,FAQ HTML generated successfully,generateFAQHTML,gemini_2flash,true,true,
2025-07-11T19:36:04.081Z,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_beta.js,Range error,Invalid count value: -3,34,3103,success,true,All tests passed,true,FAQ HTML generated successfully,generateFAQHTML,gemini_2flash,true,true,
2025-07-11T19:36:13.005Z,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_gamma.js,URI error,URI malformed,34,3297,success,true,All tests passed,true,FAQ HTML generated successfully,generateFAQHTML,gemini_2flash,true,true,
2025-07-11T23:53:13.389Z,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_portfolio_a.js,Reference error,projectt is not defined,27,2407,success,true,All tests passed,true,Portfolio HTML generated successfully,generatePortfolioHTML,gemini_2flash,true,true,
2025-07-11T23:53:25.405Z,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_portfolio_b.js,Type error,Cannot read properties of null (reading 'toString'),28,2757,success,true,All tests passed,true,Portfolio HTML generated successfully,generatePortfolioHTML,gemini_2flash,true,true,
2025-07-11T23:53:43.359Z,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_portfolio_c.js,Syntax error,"Unexpected token 'd', ""{""settings"": data}"" is not valid JSON",28,2807,success,true,All tests passed,true,Portfolio HTML generated successfully,generatePortfolioHTML,gemini_2flash,true,true,
2025-07-11T23:53:51.746Z,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_alpha.js,Undefined properties,Cannot read properties of undefined (reading 'substring'),29,3491,success,true,All tests passed,true,Team HTML generated successfully,generateTeamHTML,gemini_2flash,true,true,
2025-07-11T23:54:00.198Z,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_beta.js,Invalid function/type,member.skills.count is not a function,28,2763,success,true,All tests passed,true,Team HTML generated successfully,generateTeamHTML,gemini_2flash,true,true,
2025-07-11T23:54:11.161Z,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_gamma.js,Array index/range,Cannot read properties of undefined (reading 'length'),28,2880,success,true,All tests passed,true,Team HTML generated successfully,generateTeamHTML,gemini_2flash,true,true,
